store,month,month_number,total_row,net_profit_cell,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,net_profit
ПОРТ,Январь,1,34,AQ3,7300402.0,9486006.0,2185604.0,1309200.0,8522663.0,9831863.0,1050.0,97140.0,0.0,64808.0,0.0,69000.0,13000.0,50000.0,71400.0,-170453.26000000004,-262272.48000000004,368444.0,184222.0,0.0,0.0,101800.0,0.0,-37576.0,760296.26
ПОРТ,Февраль,2,91,AQ60,7765683.0,10075140.0,2309457.0,1470140.0,8199512.0,9669652.0,36786.0,72401.0,0.0,0.0,20512.0,54550.0,13000.0,50000.0,71400.0,-163990.24,-277134.84,368438.0,210536.0,0.0,0.0,70780.0,0.0,-27572.6,929654.32
ПОРТ,Март,3,148,AQ117,9000150.0,11572052.0,2571902.0,1216800.0,10586857.0,11803657.0,519.0,100650.0,0.0,0.0,0.0,54500.0,13000.0,50000.0,71400.0,-211737.14,-308628.24,368444.0,210536.0,0.0,0.0,144400.0,0.0,-43758.0,994848.62
ПОРТ,Апрель,4,205,AQ174,9647666.0,12294670.0,2647004.0,1829426.0,10476253.0,12305679.0,1379.0,83407.0,-13671.0,0.0,0.0,75900.0,13000.0,50000.0,71400.0,-209525.06,-317640.48000000004,315809.0,157904.0,92593.0,46296.0,176626.0,0.0,-55555.72,981347.74
ПОРТ,Май,5,262,AQ231,9228885.0,11895063.0,2666178.0,1200655.0,10667291.0,11867946.0,22241.0,82709.0,0.0,0.0,0.0,74250.0,13000.0,50000.0,71400.0,-213345.82,-319941.36000000004,315809.0,184222.0,186800.0,93400.0,200550.0,0.0,-60456.0,800294.8200000001
ПОРТ,Июнь,6,319,AQ288,12060208.0,15551807.0,3491599.0,1651090.0,13142872.0,14793962.0,113480.0,110109.0,0.0,8234.0,1870.0,64090.0,13000.0,50000.0,71400.0,-262857.43999999994,-418991.88,184223.0,92112.0,278943.0,139472.0,374220.0,0.0,-96428.2,1335752.4800000002
ПОРТ,Июль,7,376,AQ345,13328810.0,16950243.0,3621433.0,2043310.0,15172849.0,17216159.0,115956.0,34930.0,0.0,7434.0,0.0,75880.0,13000.0,50000.0,71400.0,-303456.98,-434571.96,66280.0,33139.0,0.0,0.0,668400.0,0.0,-163741.6,1706633.46
ПОРТ,Август,8,433,AQ402,13619022.0,17366349.0,3747327.0,1619989.0,14691979.0,16311968.0,141112.0,92078.0,-14178.0,600.0,12000.0,116689.0,13000.0,50000.0,71400.0,-293839.58,-449679.23999999993,117418.0,71868.0,0.0,0.0,570590.0,0.0,-151201.38,1749563.8000000005
КНИП,Январь,1,34,AQ3,3229877.0,4333901.0,1104024.0,494791.0,3744882.0,4239673.0,51881.0,65895.0,0.0,6116.0,33146.0,29650.0,13000.0,50000.0,189000.0,-74897.64000000001,-132482.88,55835.0,0.0,0.0,0.0,160500.0,0.0,-41833.0,290930.48
КНИП,Февраль,2,91,AQ60,3070921.0,4130391.0,1059470.0,503521.0,3508682.0,4012203.0,2535.0,17501.0,0.0,1843.0,9038.0,23521.0,13000.0,50000.0,189000.0,-70173.64000000001,-127136.4,59214.0,52634.0,0.0,0.0,128600.0,0.0,-33466.619999999995,295223.34
КНИП,Март,3,148,AQ117,2999214.0,4002175.0,1002961.0,361942.0,3579515.0,3941457.0,43371.0,20850.0,0.0,2579.0,0.0,19000.0,13000.0,50000.0,189000.0,-71590.3,-120355.32,59214.0,52634.0,0.0,0.0,156800.0,0.0,-38676.0,211841.37999999995
КНИП,Апрель,4,205,AQ174,2427362.0,3197193.0,769831.0,341445.0,3126465.0,3467910.0,32187.0,69172.0,0.0,2906.0,0.0,26945.0,13000.0,50000.0,189000.0,-62529.3,-92379.72,59215.0,36844.0,0.0,0.0,172600.0,0.0,-43899.9,-45753.91999999996
КНИП,Май,5,262,AQ231,2921830.0,3845079.0,923249.0,354072.0,3128551.0,3482623.0,92148.0,239.0,0.0,1603.0,14950.0,28072.0,13000.0,50000.0,189000.0,-62571.02,-110789.88000000002,72486.0,56638.0,0.0,0.0,170700.0,0.0,-43729.84,126023.25999999998
КНИП,Июнь,6,319,AQ288,2682825.0,3495296.0,812471.0,425506.0,3236653.0,3662159.0,117761.0,51267.0,0.0,7461.0,0.0,27506.0,13000.0,50000.0,189000.0,-64733.06,-97496.52,59215.0,36844.0,93431.0,46715.0,164800.0,0.0,-42307.32,-123843.89999999997
КНИП,Июль,7,376,AQ345,2679755.0,3454711.0,774956.0,449029.0,3133065.0,3582094.0,30410.0,24965.0,-4500.0,719.0,0.0,43529.0,13000.0,50000.0,189000.0,-62661.3,-92994.72,13646.0,6823.0,0.0,0.0,139050.0,0.0,-40167.380000000005,99119.60000000003
