store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,net_stock_movement,inventory_net_effect,operating_store,active_store,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,reported_month_count
ПОРТ,81950826.0,105191330.0,23240504.0,12340610.0,91460276.0,103800886.0,432523.0,673424.0,-27849.0,81076.0,34382.0,584859.0,104000.0,400000.0,571200.0,-1829205.52,-2788860.48,2104865.0,1144539.0,558336.0,279168.0,2307366.0,0.0,-636289.5,95932938.5,9258391.5,0.22093554668431323,0.08801477745361713,Август,1749563.8000000005,Январь,760296.26,0,6484,2788860.48,1829205.52,636289.5,7030563.5,1105947.0,-27849.0,-74543.0,True,True,ФОТ и налоги,7030563.5,Банковская комиссия,71305.00426105526,Маржа 8.8% не ниже сети (4.9%); валовая маржа 22.1% поддерживает положительный результат.,—,8
А2,32891085.0,44810244.0,11919159.0,7486234.0,37145446.0,44631680.0,94023.0,34016.0,-9935.0,50132.0,78008.0,316414.0,224000.0,383135.0,1520000.0,-742908.92,-1430299.08,762606.0,263174.0,186828.0,53415.0,1103546.0,0.0,-312391.2,40223818.2,4586425.8,0.26599183436715945,0.1023521719721053,Март,768418.5,Июль,302769.84,0,6484,1430299.08,742908.92,312391.2,2681960.2,128039.0,-9935.0,17941.0,True,True,ФОТ и налоги,2681960.2,Налог с валовой прибыли,27246.176494022366,Маржа 10.2% не ниже сети (4.9%); валовая маржа 26.6% поддерживает положительный результат.,—,8
КИР1,35513983.0,47933978.0,12419995.0,7636860.0,39746899.0,47383759.0,70985.0,5692.0,8498.0,42062.0,132882.0,414360.0,224000.0,0.0,1680000.0,-794937.9800000001,-1490399.4,0.0,263172.0,0.0,46500.0,2331400.0,186000.0,-644987.2,43595431.58,4338546.42,0.2591062857332642,0.09051087769097736,Апрель,1128969.46,Июнь,-15527.559999999998,1,6484,1490399.4,794937.9800000001,644987.2,3472059.2,76677.0,8498.0,99318.0,True,True,ФОТ и налоги,3472059.2,ФОТ и налоги,0.0,Маржа 9.1% не ниже сети (4.9%); валовая маржа 25.9% поддерживает положительный результат.,Июнь,8
ОЛЕ,19951189.0,27156062.0,7204873.0,3646773.0,23181193.0,26827966.0,110806.0,27590.0,-2835.0,37278.0,36291.0,447481.0,224000.0,105000.0,246000.0,-463623.86,-864584.76,1232744.0,484783.0,186814.0,93407.0,246806.0,0.0,-152743.13999999998,24726765.76,2429296.24,0.2653136157959869,0.08945686749426335,Февраль,502587.9999999999,Июль,45322.79999999999,0,6484,864584.76,463623.86,152743.13999999998,2397297.14,138396.0,-2835.0,-3822.0,True,True,ФОТ и налоги,2397297.14,Наличные операционные траты,185522.5352264197,Маржа 8.9% не ниже сети (4.9%); валовая маржа 26.5% поддерживает положительный результат.,—,8
А1,20649284.0,28373237.0,7723953.0,5177950.0,23126772.0,28304722.0,20676.0,5870.0,9795.0,33472.0,39494.0,359700.0,224000.0,246655.0,1160000.0,-462535.44,-926874.36,747727.0,314532.0,185546.0,92772.0,762040.0,0.0,-246782.8,26384318.6,1988918.4,0.2722267113900328,0.07009839589328493,Март,516156.94,Август,33623.46000000002,0,6484,926874.36,462535.44,246782.8,2349399.8,26546.0,9795.0,15817.0,True,True,ФОТ и налоги,2349399.8,Аренда,92203.17939051404,Маржа 7.0% не ниже сети (4.9%); валовая маржа 27.2% поддерживает положительный результат.,—,8
ПОЛ,12006688.0,16469254.0,4462566.0,1783636.0,14097761.0,15881397.0,343786.0,30625.0,2868.0,27892.0,0.0,113843.0,300000.0,0.0,410400.0,-281955.22000000003,-535507.9199999999,368442.0,157900.0,93608.0,46804.0,482292.0,0.0,-131149.7,14959214.84,1510039.16,0.27096345711833697,0.09168837641340645,Март,405387.3,Июль,-20814.259999999944,1,6484,535507.9199999999,281955.22000000003,131149.7,1280195.7,374411.0,2868.0,-25024.0,True,True,ФОТ и налоги,1280195.7,Списания,199859.07056291844,Маржа 9.2% не ниже сети (4.9%); валовая маржа 27.1% поддерживает положительный результат.,Июль,8
КОВ,19402818.0,26891674.0,7488856.0,4264222.0,22153115.0,26417337.0,22707.0,129.0,-24980.0,6919.0,12234.0,265518.0,570000.0,266505.0,1560000.0,-443062.3000000001,-898662.72,700447.0,297589.0,93608.0,46804.0,640623.0,0.0,-199351.02,25385117.04,1506556.96,0.2784823287683764,0.056023175054107824,Март,380956.5,Июль,-31021.69999999997,1,6484,898662.72,443062.3000000001,199351.02,1978422.02,22836.0,-24980.0,-19665.0,True,True,ФОТ и налоги,1978422.02,Аренда,547960.2387959196,Маржа 5.6% не ниже сети (4.9%); валовая маржа 27.8% поддерживает положительный результат.,Июль,8
КИР3,12583904.0,17028809.0,4444905.0,2617021.0,14940738.0,17557759.0,57576.0,14693.0,-114678.0,30885.0,5500.0,39341.0,190000.0,188158.0,550000.0,-298814.76,-533388.6,52635.0,78951.0,93600.0,46800.0,717100.0,0.0,-166417.02,15553802.38,1475006.62,0.26102265871911534,0.08661830783350732,Апрель,453444.76,Май,-8966.52,1,6484,533388.6,298814.76,166417.02,1155503.02,72269.0,-114678.0,-140063.0,True,True,ФОТ и налоги,1155503.02,Банковская комиссия,14238.529967353912,Маржа 8.7% не ниже сети (4.9%); валовая маржа 26.1% поддерживает положительный результат.,Май,8
КА2,10214396.0,14448300.0,4233904.0,3334227.0,11145636.0,14479863.0,33136.0,5032.0,362046.0,27576.0,0.0,130393.0,160000.0,0.0,480000.0,-222912.72,-508068.48,700447.0,284432.0,93608.0,46804.0,120800.0,0.0,-55262.46,13022155.66,1426144.34,0.29303821210799885,0.09870672259020093,Март,261227.9,Июль,33760.67999999998,0,6484,508068.48,222912.72,55262.46,1301353.46,38168.0,362046.0,334470.0,True,True,ФОТ и налоги,1301353.46,Налог с валовой прибыли,55677.96711358463,Маржа 9.9% не ниже сети (4.9%); валовая маржа 29.3% поддерживает положительный результат.,—,8
ЗАП,16514804.0,22326702.0,5811898.0,2439257.0,19497782.0,21937039.0,300579.0,13400.0,651.0,41246.0,52259.0,247970.0,324000.0,256482.0,760600.0,-389955.64,-697427.7599999999,715607.0,274064.0,54035.0,27018.0,470353.0,0.0,-158031.06,20903747.46,1422954.54,0.2603115319047121,0.0637333064238507,Апрель,259757.12000000005,Июнь,-21899.019999999982,1,6484,697427.7599999999,389955.64,158031.06,1699108.06,313979.0,651.0,11664.0,True,True,ФОТ и налоги,1699108.06,Списания,77346.00423305464,Маржа 6.4% не ниже сети (4.9%); валовая маржа 26.0% поддерживает положительный результат.,Июнь,8
КНИП,23192099.0,30644816.0,7452717.0,3336256.0,26761523.0,30097779.0,401339.0,262369.0,-4500.0,23227.0,57134.0,226823.0,104000.0,400000.0,1512000.0,-535230.4600000001,-894326.04,421339.0,263674.0,93431.0,46715.0,1240250.0,0.0,-322756.06,29515012.56,1129803.44,0.2431966633442994,0.036867685549164336,Февраль,295223.34,Июнь,-123843.89999999997,2,6484,894326.04,535230.4600000001,322756.06,2388165.06,663708.0,-4500.0,29407.0,True,True,ФОТ и налоги,2388165.06,Аренда,358714.7018522171,"Маржа 3.7% ниже сети (4.9%); основной резерв — Аренда 358,715 руб.","Апрель, Июнь",8
