store,month,month_number,stock_open,stock_close,purchase_smoked,purchase_frozen,sales_smoked,sales_frozen,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoff_smoked,writeoff_frozen,movement,discount,revaluation,household,delivery,cleaning,bonus,service_bonus,extra_pay,driver_cash,utilities_cash,other_cash_expenses,cash_operating_total,driver_cashless,utilities_cashless,rent,bank_fee_raw,gross_profit_tax_raw,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax_raw,bank_fee,gross_profit_tax,personal_income_tax,driver_total,utilities_total,payroll_total,net_profit,frozen_sales_share,smoked_markup,frozen_markup,inventory_effect
ПОРТ,Январь,1,2207919.0,1699064.0,5602310.0,1698092.0,6938963.0,2547043.0,7300402.0,9486006.0,2185604.0,1309200.0,8522663.0,9831863.0,1050.0,97140.0,0.0,64808.0,0.0,0.0,0.0,8000.0,21000.0,40000.0,0.0,0.0,0.0,0.0,69000.0,13000.0,50000.0,71400.0,-170453.26000000004,-262272.48000000004,368444.0,184222.0,0.0,0.0,101800.0,0.0,-37576.0,170453.26000000004,262272.48000000004,37576.0,13000.0,50000.0,692042.0,760296.26,0.26850531193001564,0.23858961749706817,0.4999440548568629,-64808.0
ПОРТ,Февраль,2,1699064.0,2015877.0,5963782.0,1801901.0,7352380.0,2722760.0,7765683.0,10075140.0,2309457.0,1470140.0,8199512.0,9669652.0,36786.0,72401.0,0.0,0.0,20512.0,550.0,0.0,8000.0,0.0,46000.0,0.0,0.0,0.0,0.0,54550.0,13000.0,50000.0,71400.0,-163990.24,-277134.83999999997,368438.0,210536.0,0.0,0.0,70780.0,0.0,-27572.6,163990.24,277134.83999999997,27572.6,13000.0,50000.0,677326.6,929654.32,0.2702453762429108,0.23283849074295473,0.5110486092188194,20512.0
ПОРТ,Март,3,2015877.0,1683103.0,7005534.0,1994616.0,8658943.0,2913109.0,9000150.0,11572052.0,2571902.0,1216800.0,10586857.0,11803657.0,519.0,100650.0,0.0,0.0,0.0,500.0,0.0,8000.0,0.0,46000.0,0.0,0.0,0.0,0.0,54500.0,13000.0,50000.0,71400.0,-211737.14,-308628.24,368444.0,210536.0,0.0,0.0,144400.0,0.0,-43758.0,211737.14,308628.24,43758.0,13000.0,50000.0,767138.0,994848.6199999999,0.2517365977961385,0.23601469923634658,0.46048612865834826,0.0
ПОРТ,Апрель,4,1683103.0,1573637.0,7916184.0,1731482.0,9793544.0,2501126.0,9647666.0,12294670.0,2647004.0,1829426.0,10476253.0,12305679.0,1379.0,83407.0,-13671.0,0.0,0.0,900.0,0.0,8000.0,21000.0,46000.0,0.0,0.0,0.0,0.0,75900.0,13000.0,50000.0,71400.0,-209525.05999999997,-317640.48000000004,315809.0,157904.0,92593.0,46296.0,176626.0,0.0,-55555.72,209525.05999999997,317640.48000000004,55555.72,13000.0,50000.0,844783.72,981347.74,0.20343173098586623,0.23715466947205877,0.44450014496252344,-13671.0
ПОРТ,Май,5,1573637.0,1495804.0,7391364.0,1837521.0,9271078.0,2623985.0,9228885.0,11895063.0,2666178.0,1200655.0,10667291.0,11867946.0,22241.0,82709.0,0.0,0.0,0.0,20250.0,0.0,8000.0,0.0,46000.0,0.0,0.0,0.0,0.0,74250.0,13000.0,50000.0,71400.0,-213345.82,-319941.36000000004,315809.0,184222.0,186800.0,93400.0,200550.0,0.0,-60456.0,213345.82,319941.36000000004,60456.0,13000.0,50000.0,1041237.0,800294.8200000001,0.22059446007137584,0.25431219460981763,0.42800272758787516,0.0
ПОРТ,Июнь,6,1495804.0,2023696.0,9110149.0,2950059.0,11408965.0,4142842.0,12060208.0,15551807.0,3491599.0,1651090.0,13142872.0,14793962.0,113480.0,110109.0,0.0,8234.0,1870.0,7090.0,0.0,8000.0,3000.0,46000.0,0.0,0.0,0.0,0.0,64090.0,13000.0,50000.0,71400.0,-262857.43999999994,-418991.87999999995,184223.0,92112.0,278943.0,139472.0,374220.0,0.0,-96428.2,262857.43999999994,418991.87999999995,96428.2,13000.0,50000.0,1165398.2,1335752.4800000002,0.2663897513645842,0.252335719207227,0.4043251338363063,-6364.0
ПОРТ,Июль,7,2023696.0,1599460.0,10406264.0,2922546.0,12840001.0,4110242.0,13328810.0,16950243.0,3621433.0,2043310.0,15172849.0,17216159.0,115956.0,34930.0,0.0,7434.0,0.0,7880.0,0.0,0.0,36000.0,4000.0,0.0,0.0,0.0,28000.0,75880.0,13000.0,50000.0,71400.0,-303456.98,-434571.95999999996,66280.0,33139.0,0.0,0.0,668400.0,0.0,-163741.6,303456.98,434571.95999999996,163741.6,13000.0,50000.0,931560.6,1706633.46,0.24248867700598747,0.233872309985601,0.4063908660462487,-7434.0
ПОРТ,Август,8,1599460.0,2417873.0,10101817.0,3517205.0,12393831.0,4972518.0,13619022.0,17366349.0,3747327.0,1619989.0,14691979.0,16311968.0,141112.0,92078.0,-14178.0,600.0,12000.0,13120.0,4200.0,8000.0,3000.0,46000.0,0.0,0.0,0.0,42369.0,116689.0,13000.0,50000.0,71400.0,-293839.58,-449679.23999999993,117418.0,71868.0,0.0,0.0,570590.0,0.0,-151201.38,293839.58,449679.23999999993,151201.38,13000.0,50000.0,911077.38,1749563.8000000003,0.28633065015565445,0.22689126124537792,0.41376974046153125,-2778.0
КНИП,Январь,1,1231148.0,1234630.0,1795618.0,1434259.0,2239257.0,2094644.0,3229877.0,4333901.0,1104024.0,494791.0,3744882.0,4239673.0,51881.0,65895.0,0.0,6116.0,33146.0,3650.0,0.0,8000.0,9000.0,9000.0,0.0,0.0,0.0,0.0,29650.0,13000.0,50000.0,189000.0,-74897.64000000001,-132482.88,55835.0,0.0,0.0,0.0,160500.0,0.0,-41833.0,74897.64000000001,132482.88,41833.0,13000.0,50000.0,258168.0,290930.48,0.4833160702101871,0.24706758341696286,0.4604363647012151,27030.0
КНИП,Февраль,2,1234630.0,1339977.0,1713938.0,1356983.0,2141448.0,1988943.0,3070921.0,4130391.0,1059470.0,503521.0,3508682.0,4012203.0,2535.0,17501.0,0.0,1843.0,9038.0,5521.0,0.0,8000.0,0.0,10000.0,0.0,0.0,0.0,0.0,23521.0,13000.0,50000.0,189000.0,-70173.64000000001,-127136.4,59214.0,52634.0,0.0,0.0,128600.0,0.0,-33466.619999999995,70173.64000000001,127136.4,33466.619999999995,13000.0,50000.0,273914.62,295223.33999999997,0.48153867273098355,0.24943142634097615,0.4657095925298991,7195.0
КНИП,Март,3,1339977.0,1333895.0,1816942.0,1182272.0,2260527.0,1741648.0,2999214.0,4002175.0,1002961.0,361942.0,3579515.0,3941457.0,43371.0,20850.0,0.0,2579.0,0.0,0.0,0.0,8000.0,0.0,11000.0,0.0,0.0,0.0,0.0,19000.0,13000.0,50000.0,189000.0,-71590.3,-120355.32,59214.0,52634.0,0.0,0.0,156800.0,0.0,-38676.0,71590.3,120355.32,38676.0,13000.0,50000.0,307324.0,211841.37999999995,0.4351753733907188,0.24413822785757608,0.47313646944188814,-2579.0
КНИП,Апрель,4,1333895.0,958913.0,1639536.0,787826.0,2056141.0,1141052.0,2427362.0,3197193.0,769831.0,341445.0,3126465.0,3467910.0,32187.0,69172.0,0.0,2906.0,0.0,1945.0,0.0,8000.0,6000.0,11000.0,0.0,0.0,0.0,0.0,26945.0,13000.0,50000.0,189000.0,-62529.3,-92379.71999999999,59215.0,36844.0,0.0,0.0,172600.0,0.0,-43899.9,62529.3,92379.71999999999,43899.9,13000.0,50000.0,312558.9,-45753.91999999996,0.3568918110354927,0.2540993305422998,0.44835534750059025,-2906.0
