store,purchase_smoked,purchase_frozen,sales_smoked,sales_frozen,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoff_smoked,writeoff_frozen,movement,discount,revaluation,household,delivery,cleaning,bonus,service_bonus,extra_pay,driver_cash,utilities_cash,other_cash_expenses,cash_operating_total,driver_cashless,utilities_cashless,rent,bank_fee_raw,gross_profit_tax_raw,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax_raw,bank_fee,gross_profit_tax,personal_income_tax,driver_total,utilities_total,payroll_total,net_profit,inventory_effect,stock_open,stock_close,stock_change,gross_margin,net_margin,frozen_sales_share,smoked_markup,frozen_markup,frozen_uplift_pp,writeoff_frozen_share,writeoff_smoked_share,loss_months,best_month,worst_month,best_month_profit,worst_month_profit,household_ratio,household_median_gap,delivery_ratio,delivery_median_gap,cleaning_ratio,cleaning_median_gap,bonus_ratio,bonus_median_gap,service_bonus_ratio,service_bonus_median_gap,extra_pay_ratio,extra_pay_median_gap,driver_cash_ratio,driver_cash_median_gap,utilities_cash_ratio,utilities_cash_median_gap,other_cash_expenses_ratio,other_cash_expenses_median_gap,driver_cashless_ratio,driver_cashless_median_gap,utilities_cashless_ratio,utilities_cashless_median_gap,rent_ratio,rent_median_gap,bank_fee_ratio,bank_fee_median_gap,gross_profit_tax_ratio,gross_profit_tax_median_gap,salary_cashless_ratio,salary_cashless_median_gap,payroll_tax_ratio,payroll_tax_median_gap,vacation_cashless_ratio,vacation_cashless_median_gap,vacation_tax_ratio,vacation_tax_median_gap,salary_cash_ratio,salary_cash_median_gap,vacation_cash_ratio,vacation_cash_median_gap,personal_income_tax_ratio,personal_income_tax_median_gap,writeoff_frozen_ratio,writeoff_frozen_median_gap,driver_total_ratio,driver_total_median_gap,utilities_total_ratio,utilities_total_median_gap,payroll_total_ratio,payroll_total_median_gap,writeoff_smoked_ratio,writeoff_smoked_median_gap,profit_rank,margin_rank,mix_rank
ПОРТ,63497404.0,18453422.0,78657705.0,26533625.0,81950826.0,105191330.0,23240504.0,12340610.0,91460276.0,103800886.0,432523.0,673424.0,-27849.0,81076.0,34382.0,50290.0,4200.0,56000.0,84000.0,320000.0,0.0,0.0,0.0,70369.0,584859.0,104000.0,400000.0,571200.0,-1829205.52,-2788860.48,2104865.0,1144539.0,558336.0,279168.0,2307366.0,0.0,-636289.5,1829205.52,2788860.48,636289.5,104000.0,400000.0,7030563.5,9258391.5,-74543.0,2207919.0,2417873.0,209954.0,0.22093554668431323,0.08801477745361713,0.25224155831093686,0.23875465837941973,0.43787016847065,19.91155100912303,0.006401896430057496,0.0041117742308230155,0,Август,Январь,1749563.8000000003,760296.26,0.0004780812258957083,-52898.800113709076,3.992724495450338e-05,4200.0,0.0005323632660600451,-214102.19981260563,0.0007985448990900676,-79163.33957412501,0.0030420758060574005,-40871.950702350936,0.0,0.0,0.0,0.0,0.0,0.0,0.0006689619762389162,64489.16228737047,0.000988674636968655,-1009906.5614895772,0.0038025947575717504,-873683.990752503,0.00543010531381246,-3387564.653101909,0.01738931830218327,71305.00426105526,0.02651226560211759,-504783.73626794666,0.020009871535990657,-1816291.4971394595,0.010880545003091035,-525494.8327168748,0.005307813866408952,-126369.98205568013,0.002653906933204476,-63183.13732094719,0.02193494463849825,-645464.5843171999,0.0,0.0,0.0060488777924948755,-257689.60884554347,0.006401896430057496,574606.6682872754,0.000988674636968655,-1014303.3107427687,0.0038025947575717504,-956001.413928709,0.06683595976968824,-3125567.5991829205,0.0041117742308230155,-266393.0100394093,1,6,32
КНИП,14609387.0,8582712.0,18244632.0,12400184.0,23192099.0,30644816.0,7452717.0,3336256.0,26761523.0,30097779.0,401339.0,262369.0,-4500.0,23227.0,57134.0,25823.0,0.0,64000.0,36000.0,101000.0,0.0,0.0,0.0,0.0,226823.0,104000.0,400000.0,1512000.0,-535230.4600000001,-894326.04,421339.0,263674.0,93431.0,46715.0,1240250.0,0.0,-322756.06,535230.4600000001,894326.04,322756.06,104000.0,400000.0,2388165.06,1129803.44,29407.0,1231148.0,1143884.0,-87264.0,0.2431966633442994,0.036867685549164336,0.40464214240999197,0.24882939989200095,0.4447862167575936,19.595681686559267,0.008561611203669816,0.013096472825942241,2,Февраль,Июнь,295223.33999999997,-123843.89999999997,0.0008426547576595011,-4238.429898694063,0.0,0.0,0.0020884445839061327,-14687.399564703039,0.0011747500784471997,-11533.485118921672,0.003295826608976866,-4130.855640237802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1712.9410267309377,0.0033937224488474658,-220508.3184901339,0.01305277864941333,28944.59516049316,0.049339503294782386,358714.7018522171,0.01746561180200919,23110.897949353268,0.02918359960131593,-65193.35173119523,0.013749111758412907,-720990.1193489356,0.008604195894013527,-222847.84089110204,0.003048835404983342,-106040.65640167892,0.0015244013865183593,-53020.288170528496,0.04047177179983721,380017.98339204304,0.0,0.0,0.01053215852234192,62318.005852232774,0.008561611203669816,233581.08612965143,0.0033937224488474658,-221789.19945116172,0.01305277864941333,4963.509582157363,0.07793047476610726,-570565.1776188072,0.013096472825942241,197727.61370883088,11,16,30
Л76,6306519.0,3715685.0,7865603.0,5375418.0,10022204.0,13241021.0,3218817.0,1402862.0,11635944.0,13038806.0,283799.0,6496.0,0.0,5467.0,0.0,15372.0,0.0,31866.0,27000.0,20000.0,0.0,0.0,0.0,0.0,94238.0,104000.0,240000.0,400000.0,-232718.88,-386258.04,421079.0,184220.0,0.0,0.0,429301.0,0.0,-115178.58,232718.88,386258.04,115178.58,104000.0,240000.0,1149778.58,605327.5,-5467.0,794715.0,701168.0,-93547.0,0.24309432029448486,0.04571607431179212,0.4059670323006058,0.24721783919147788,0.44668291311023406,19.946507391875617,0.0004905966088264643,0.021433316962491036,2,Август,Май,213450.87999999998,-28538.920000000006,0.00116093766485228,2383.0486361335643,0.0,0.0,0.0024066119976699682,-2133.274463635993,0.002039117678311967,6461.717940716975,0.001510457539490346,-25424.970646923022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-740.1280564616836,0.0078543792053498,-36213.64852712941,0.01812549047388415,79674.27288049596,0.03020915078980692,-98311.84666816256,0.017575599343887454,11442.110851723264,0.02917131843533818,-28331.377532152343,0.03180109751355277,-72498.89774984325,0.013912824396245577,-25996.498353187722,0.0,-86187.77124716347,0.0,-43093.65228712809,0.03242204660803725,57611.70035537798,0.0,0.0,0.008698617727439599,2648.4299031704722,0.0004905966088264643,-5942.690188365841,0.0078543792053498,-36767.091944882966,0.01812549047388415,69312.51845698949,0.0868345862452752,-128630.44062017975,0.021433316962491036,195822.5330595399,15,12,28
К49,7036063.0,5934744.0,8872303.0,8656993.0,12970807.0,17529296.0,4558489.0,2838808.0,14324394.0,17163202.0,164967.0,9981.0,-4410.0,28490.0,27863.0,7752.0,0.0,56000.0,24000.0,68000.0,0.0,0.0,0.0,9360.0,165112.0,104000.0,347334.0,920000.0,-286487.88,-547018.6799999999,700447.0,297587.0,186861.0,93430.0,161763.0,0.0,-71912.5,286487.88,547018.6799999999,71912.5,104000.0,347334.0,1512000.5,666554.94,-5037.0,687468.0,873577.0,186109.0,0.2600497475768565,0.03802519736103492,0.4938585668243608,0.26097549154974875,0.45869695474648947,19.77214631967407,0.0005693896663049103,0.009410931277559579,2,Январь,Июль,223132.2,-101393.82,0.0004422311084255751,-9443.590369263704,0.0,0.0,0.0031946519700505943,10989.623091881163,0.0013691365585931118,-3189.8689344773084,0.00387922024934715,7863.5682051085605,0.0,0.0,0.0,0.0,0.0,0.0,0.0005339632578513136,8380.171950514876,0.005932925087236818,-81623.64248738941,0.01981448656009916,135084.72352101747,0.05248356807940262,260303.4508779319,0.016343376254243182,-6452.217619648145,0.031205969709222774,-1840.8541997183347,0.039958649794036225,47017.5500569226,0.01697655171091868,19289.184165666695,0.010659926103136144,72760.21020653789,0.005329934527889768,36379.91400873503,0.009228151546987397,-330302.66121323075,0.0,0.0,0.004102418032076132,-77061.98693509007,0.0005693896663049103,-6486.120032825307,0.005932925087236818,-82356.32567617475,0.01981448656009916,121367.1816208155,0.08625563171504434,-180437.72900977475,0.009410931277559579,48498.222400935745,14,15,17
К80,4765095.0,4019397.0,6023030.0,5832239.0,8784492.0,11855269.0,3070777.0,1628243.0,9716236.0,11344479.0,584774.0,30818.0,-18214.0,40600.0,37284.0,7394.0,0.0,50000.0,24000.0,16266.0,0.0,0.0,0.0,0.0,97660.0,104000.0,112741.0,650000.0,-194324.72,-368493.23999999993,431873.0,235940.0,0.0,20000.0,371967.0,73000.0,-119377.94,194324.72,368493.23999999993,119377.94,104000.0,112741.0,1252157.94,260582.10000000012,-21530.0,774104.0,647772.0,-126332.0,0.2590221276294954,0.021980277292737948,0.49195332472000425,0.26398949024101304,0.4510233748992697,18.703388465825665,0.002599519251735241,0.04932608446084184,3,Январь,Июнь,131657.86000000002,-48798.939999999966,0.000623688926839197,-4235.57995811301,0.0,0.0,0.004217533992691351,19558.952850294892,0.0020244163164918486,5611.171932234363,0.0013720481585023504,-24404.975926733787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-662.6692310057093,0.00877247070479801,-21539.45203776755,0.009509779997400313,-30805.681379201473,0.05482794190498756,203839.46690079104,0.016391422244404576,-3794.112505720055,0.03108265531553944,-2706.916649323597,0.03642878116051183,-10049.02023385407,0.019901699404711946,47723.91483443027,0.0,-77167.70577175192,0.0016870135970765403,-18583.64396947703,0.03137566933318847,39177.20745238615,0.006157599629329372,73000.0,0.01006961039854937,18624.742795019352,0.002599519251735241,19681.093096012934,0.00877247070479801,-22034.974293471838,0.009509779997400313,-40083.01626165569,0.10562037352336753,107542.0654780292,0.04932608446084184,506004.79623174365,19,18,20
ПЗ1,5024837.0,3179058.0,6343646.0,4599865.0,8203895.0,10943511.0,2739616.0,1744918.0,8875378.0,10620296.0,259670.0,32474.0,-14638.0,20030.0,7403.0,9824.0,0.0,32000.0,18000.0,40000.0,0.0,0.0,0.0,0.0,99824.0,104000.0,70000.0,760000.0,-177507.56000000003,-328753.92000000004,615422.0,281393.0,93608.0,46804.0,202551.0,0.0,-66522.5,177507.56000000003,328753.92000000004,66522.5,104000.0,70000.0,1306300.5,-139243.98,-27265.0,759081.0,762887.0,3806.0,0.25034159512427046,-0.012723885414836244,0.4203280830073639,0.26245806580392556,0.4469270456846022,18.44689798806766,0.0029674206020353067,0.023728216657341508,6,Август,Июль,132801.84000000003,-204676.32,0.0008977009298021449,-911.1791171494515,0.0,0.0,0.002924107263199169,3900.094857879947,0.0016448103355495324,1025.409019677074,0.003655134078998961,2456.9233785461693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-611.7050586429141,0.009503348605397298,-11884.538284983806,0.006396484638248182,-62506.87830759355,0.06944754750098026,348152.5166795408,0.016220348295898822,-5374.466787709709,0.030040991414912458,-13898.195063234307,0.05623624812914246,207487.05651019776,0.02571322859729387,107652.12593072758,0.00855374477167337,22375.062395806395,0.004276872385836685,11187.724047083575,0.018508776570882964,-104644.79247274186,0.0,0.0,0.00607871641925521,-26482.03004464724,0.0029674206020353067,22193.603729805,0.009503348605397298,-12341.951208810715,0.006396484638248182,-71070.71741886312,0.11936758687408457,249714.06458416884,0.023728216657341508,186958.73145778853,24,25,27
ПЗ2,5302817.0,3949239.0,6685738.0,5743420.0,9252056.0,12429158.0,3177102.0,2019243.0,10357521.0,12376764.0,91708.0,48967.0,-16201.0,12675.0,13204.0,18827.0,0.0,32000.0,18000.0,34000.0,0.0,0.0,0.0,0.0,102827.0,104000.0,342505.0,800000.0,-207150.41999999998,-381252.24,289491.0,118427.0,0.0,0.0,549622.0,0.0,-143538.78,207150.41999999998,381252.24,143538.78,104000.0,342505.0,1101078.78,89321.56000000004,-15672.0,753949.0,649996.0,-103953.0,0.25561683261247464,0.00718645301636684,0.4620924442347583,0.26078987828544714,0.4543105646429603,19.35206863575132,0.003939687628075852,0.007378456368484494,4,Февраль,Май,131988.92000000004,-93629.8,0.0015147446029731056,6634.456180621462,0.0,0.0,0.0025745911348137984,85.36485261241978,0.0014482075133327615,-1278.9931201977597,0.002735503080739661,-8639.773573047612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-694.7476749712267,0.008367421188144845,-27616.5567066285,0.02755657301966875,192009.52130291157,0.06436477837034496,332241.7602456513,0.016666488590779842,-558.9345485244121,0.030674019913496955,-7916.946850099543,0.023291280069011915,-173823.54926630255,0.009528159510081053,-78900.23573495654,0.0,-80903.2344634792,0.0,-40451.39820213081,0.04422037277183217,200722.54336502065,0.0,0.0,0.01154855220281213,37908.32934840678,0.003939687628075852,37290.97851613944,0.008367421188144845,-28136.066167667712,0.02755657301966875,182283.0898678311,0.08858836455373727,-98945.57657442684,0.007378456368484494,9125.742341413468,21,21,22
МИРА,3015365.0,3417101.0,3867597.0,4955802.0,6432466.0,8823399.0,2390933.0,1132388.0,7619567.0,8751955.0,66322.0,27944.0,-31372.0,29152.0,20018.0,19095.0,0.0,38000.0,25000.0,68000.0,0.0,0.0,0.0,0.0,150095.0,104000.0,0.0,536000.0,-152391.34,-286911.95999999996,670983.0,256538.0,93400.0,46700.0,176463.0,0.0,-71842.76,152391.34,286911.95999999996,71842.76,104000.0,0.0,1315926.76,-182336.06,-40506.0,621556.0,558228.0,-63328.0,0.27097641169803155,-0.020665058896237154,0.5616658614214318,0.28262979771934743,0.45029426990890814,16.76644721895607,0.003167033475421433,0.00751660442874679,4,Март,Май,58030.98000000001,-182622.98,0.002164131985870751,10439.572259572147,0.0,0.0,0.004306730320140798,15343.955250643332,0.0028333752106189463,11313.936260383865,0.007706780572883534,37730.23148433267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-493.1980058981829,0.011786840876174817,10566.044551955245,0.0,-106836.01063245084,0.060747564515670205,203940.69357793336,0.017271273802760136,4939.47630866259,0.032517169403763785,10642.641186611203,0.0760458639578693,342078.2479096537,0.02907473639127053,116456.35211551902,0.010585489786872383,35967.18612299981,0.005292744893436192,17983.748549557193,0.019999435591658045,-71219.03258608669,0.0,0.0,0.008142299809857857,-3143.7847561948292,0.003167033475421433,19655.248961138495,0.011786840876174817,10197.247304464778,0.0,-113740.75714849461,0.1491405704309643,464035.2877237251,0.00751660442874679,7697.255697729903,26,27,8
МАК,2673631.0,3163280.0,3370802.0,4607154.0,5836911.0,7977956.0,2141045.0,1348926.0,6765936.0,8114862.0,8655.0,21454.0,0.0,13404.0,12877.0,10932.0,0.0,32000.0,27000.0,85000.0,0.0,0.0,0.0,0.0,154932.0,104000.0,0.0,600000.0,-135318.72,-256925.39999999997,394762.0,184219.0,93414.0,46707.0,449294.0,93000.0,-153389.72,135318.72,256925.39999999997,153389.72,104000.0,0.0,1414785.72,-546370.84,-527.0,826421.0,658879.0,-167542.0,0.2683701188625257,-0.06848506559825598,0.5774855113264601,0.26075812256814795,0.4564483700462811,19.569024747813312,0.0026891599803257876,0.0010848643436990628,6,Март,Июль,55145.52000000002,-227662.82,0.001370275794952993,3105.920540790139,0.0,0.0,0.004011052455039863,11514.81870598864,0.003384325508939884,14625.311478280311,0.010654358083699635,57630.6289279019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-445.9406165745699,0.013035920478879552,19518.726346789786,0.0,-96599.1668336913,0.07520723353199742,299758.04834103445,0.016961577627151617,1995.4416752311226,0.03220441426350308,7127.734764279856,0.04948159653926394,97372.33867246727,0.02309100225671839,57559.736010024906,0.011709014188596678,41484.300111453995,0.005854507094298339,20742.290645184596,0.05631693130420875,225344.43612304443,0.0116571211974596,93000.0,0.019226694155746158,85588.25769993252,0.0026891599803257876,13959.462908002759,0.013035920478879552,19185.266620736365,0.0,-102842.31234894574,0.17733686673629184,644521.0314604314,0.0010848643436990628,-44352.42157923058,29,29,4
ГС1,7066987.0,5999508.0,8931240.0,8738476.0,13066495.0,17669716.0,4603221.0,3145684.0,14481138.0,17626822.0,350109.0,7673.0,0.0,20326.0,19300.0,17301.0,0.0,40000.0,37500.0,63000.0,6000.0,0.0,0.0,16800.0,180601.0,104000.0,224915.0,708000.0,-289622.76,-552386.52,718098.0,306413.0,94012.0,47006.0,818388.0,0.0,-219777.58000000002,289622.76,552386.52,219777.58000000002,104000.0,224915.0,2203694.58,332328.1399999999,-1026.0,1331577.0,1015663.0,-315914.0,0.26051471342267185,0.018807780498566014,0.4945453565863764,0.263797428805232,0.45653210229905516,19.27346734938232,0.0004342458022528489,0.019814070582685087,1,Февраль,Июль,169310.54000000004,-147259.74,0.0009791328847617018,-32.33719033695161,0.0,0.0,0.002263760209841516,-5370.936574943909,0.0021222751967264215,10092.32417836765,0.0035654223305003883,2381.8399170678676,0.0003395640314762275,6000.0,0.0,0.0,0.0,0.0,0.0009507792881334369,15812.322949921316,0.0058857765455879426,-83110.59734730388,0.012728840689912617,10965.481628634647,0.04006855571419484,43018.89242060878,0.01639091199881198,-5663.960582016443,0.031261765610720624,-869.7027941902634,0.04064004197916933,59434.194760451675,0.017341138929454214,25885.854516634718,0.005320515621190516,-21002.804418053885,0.002660257810595258,-10501.090829045868,0.04631585476529447,322380.6026127916,0.0,0.0,0.012438093515481518,69609.71955718746,0.0004342458022528489,-8926.031376841027,0.0058857765455879426,-83849.14976057885,0.012728840689912617,-2861.9458729985636,0.12471590262118532,497698.92255056906,0.019814070582685087,232707.2387973466,18,19,16
