month,month_number,store_count,revenue,gross_profit,expenses,net_profit
Январь,1,43,79693685.0,21457362.0,74320626.32,5373058.68
Февраль,2,43,88036716.0,23662436.0,82540725.9,5495990.1
Март,3,43,98445749.0,26261962.0,91617268.88,6828480.12
Апрель,4,43,92615205.0,23737395.0,88319888.3,4295316.7
Май,5,43,78134925.0,19728393.0,77063645.98,1071279.0200000005
Июнь,6,43,75989993.0,18953599.0,73470047.2,2519945.8000000003
Июль,7,43,77199867.0,18487985.0,75992379.8,1207487.2
Август,8,43,58013908.0,14049216.0,50378624.38,7635283.62
Сентябрь,9,43,0.0,0.0,0.0,0.0
Октябрь,10,43,0.0,0.0,0.0,0.0
Ноябрь,11,43,0.0,0.0,0.0,0.0
Декабрь,12,43,0.0,0.0,0.0,0.0
