store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count
ПОРТ,78195401.0,100346105.0,22150704.0,11743810.0,90543880.0,102287690.0,432523.0,673424.0,-27849.0,81076.0,34382.0,515059.0,91000.0,350000.0,499800.0,-1810877.6,-2658084.48,2040083.0,1098989.0,558336.0,279168.0,1815676.0,0.0,-512761.7,91098659.78,9247445.22,0.22074303731071573,0.0921554974156695,Август,1738617.5199999998,Сентябрь,0.0,0,6484
КНИП,22303855.0,29469304.0,7165449.0,3309756.0,26538114.0,29847870.0,388265.0,262369.0,-4500.0,23227.0,57134.0,209823.0,91000.0,350000.0,1323000.0,-530762.28,-859853.88,405143.0,255576.0,93431.0,46715.0,1182750.0,0.0,-306366.06,28220644.22,1248659.78,0.24314958371599138,0.04237153955179939,Август,395119.54000000004,Июнь,-123843.89999999997,2,6484
Л76,9539584.0,12600248.0,3060664.0,1370996.0,11530110.0,12901106.0,277390.0,6496.0,0.0,5467.0,0.0,89372.0,91000.0,210000.0,350000.0,-230602.2,-367279.68,394761.0,171061.0,0.0,0.0,403149.0,0.0,-108354.62,11961659.5,638588.5,0.2429050602813532,0.050680629460626486,Август,246711.87999999998,Май,-28538.920000000006,2,6484
К49,12470287.0,16856403.0,4386116.0,2817808.0,14200184.0,17017992.0,154816.0,9981.0,-4410.0,28490.0,27863.0,148112.0,91000.0,301834.0,805000.0,-284003.68000000005,-526333.9199999999,684252.0,289490.0,186861.0,93430.0,132463.0,0.0,-61726.5,16084774.1,771628.9,0.2602047423759387,0.04577660489014175,Январь,223132.2,Июль,-101393.82,2,6484
К80,8352826.0,11281674.0,2928848.0,1608477.0,9605189.0,11213666.0,578013.0,30818.0,-18214.0,40600.0,37284.0,92394.0,91000.0,87741.0,455000.0,-192103.78000000003,-351461.75999999995,430861.0,234534.0,0.0,20000.0,347467.0,73000.0,-112829.42,10872035.959999999,409638.04000000015,0.25961111799543224,0.03631004051349118,Август,134592.28000000003,Июнь,-48798.939999999966,2,6484
РЕЗ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Январь,0.0,Январь,0.0,0,6484
ПЗ1,7811949.0,10428690.0,2616741.0,1728918.0,8784429.0,10513347.0,259670.0,32474.0,-14638.0,20030.0,7403.0,90824.0,91000.0,70000.0,665000.0,-175688.58000000002,-314008.92000000004,589105.0,268234.0,93608.0,46804.0,172851.0,0.0,-58008.5,10479555.0,-50865.00000000002,0.2509175169652181,-0.0048774102979377105,Август,221180.82,Июль,-204676.32,6,6484
ПЗ2,8972750.0,12063160.0,3090410.0,2000243.0,10276056.0,12276299.0,79763.0,48967.0,-16201.0,12675.0,13204.0,93827.0,91000.0,292005.0,700000.0,-205521.12,-370849.2,289491.0,118427.0,0.0,0.0,519922.0,0.0,-135024.78,11837784.1,225375.90000000002,0.2561857755347687,0.01868299019494063,Август,198458.86000000002,Май,-93629.8,4,6484
МИРА,6146451.0,8433951.0,2287500.0,1113388.0,7562488.0,8675876.0,66322.0,27944.0,-31372.0,29152.0,20018.0,139095.0,91000.0,0.0,469000.0,-151249.76,-274500.0,644665.0,243379.0,93400.0,46700.0,157263.0,0.0,-65198.759999999995,8549845.52,-115894.52000000002,0.2712251944551255,-0.013741426764276912,Август,105368.86,Май,-182622.98,4,6484
МАК,5589297.0,7644927.0,2055630.0,1336426.0,6704814.0,8041240.0,8655.0,21454.0,0.0,13404.0,12877.0,149932.0,91000.0,0.0,525000.0,-134096.28,-246675.59999999998,368444.0,171060.0,0.0,0.0,393394.0,93000.0,-139991.72,7923344.6,-278417.60000000003,0.26888811364712834,-0.036418608052110904,Август,62687.399999999994,Июль,-227662.82,5,6484
ГС1,12595062.0,17044885.0,4449823.0,3113034.0,14270263.0,17383297.0,339734.0,7673.0,0.0,20326.0,19300.0,169451.0,91000.0,194915.0,619500.0,-285405.26,-533978.76,684253.0,289491.0,94012.0,47006.0,761288.0,0.0,-204762.58000000002,16577797.6,467087.3999999999,0.26106500571872443,0.02740337643815138,Август,210452.58,Июль,-147259.74,1,6484
