row	column	value	formula
1	A1	Январь	
2	A2	Дата	
2	B2	Остаток	
2	C2	З. Коп	
2	D2	З. Мор	
2	E2	П. Коп	
2	F2	П. Мор	
2	G2	Закупка	
2	H2	Продажа	
2	I2	% коп	
2	J2	% мор	
2	K2	% общий	
2	L2	Грязная	
2	M2	Выр нал	
2	N2	Б/нал	
2	O2	Общая	
2	P2	Списания К.	
2	Q2	Списания М.	
2	R2	Перемещение	
2	S2	Уценка	
2	T2	Переоценка	
2	U2	Хоз. Нужды	
2	V2	Доставка	
2	W2	Уборка	
2	X2	Премия	
2	Y2	Выслуга	
2	Z2	Доплата	
2	AA2	Водитель	
2	AB2	Ком. Плат.	
2	AC2	Расходы	
2	AD2	Траты нал	
2	AE2	Вод. Б/нал	
2	AF2	Ком. Б/нал	
2	AG2	Аренда	
2	AH2	-% банк	
2	AI2	Налоги	
2	AJ2	Зарпл. Б/нал	
2	AK2	Налоги з/п	
2	AL2	Отпускные	
2	AM2	Налоги отпуск.	
2	AN2	Зарпл. Нал	
2	AO2	Отпуск. Нал	
2	AP2	НДФЛ 22%	
2	AQ2	Итог	
3	A3	1	
3	B3	2207919	
3	C3	0	=ЗакПро!B4
3	D3	0	=ЗакПро!C4
3	E3	0	=ЗакПро!D4
3	F3	0	=ЗакПро!E4
3	G3	0	=SUM(C3:D3)
3	H3	0	=SUM(E3:F3)
3	I3	-	=IFERROR((E3-C3)/C3*100,"-")
3	J3	-	=IFERROR((F3-D3)/D3*100,"-")
3	K3	-	=IFERROR((H3-G3)/G3*100,"-")
3	L3	0	=H3-G3
3	O3	0	=M3+N3
3	W3	8000	
3	X3	21000	
3	Y3	40000	
3	AD3	69000	=SUM(U3:AC3)
3	AE3	13000	
3	AF3	50000	
3	AG3	71400	
3	AH3	0	=N3-N3-(N3*0.02)
3	AI3	0	=L3-L3-(L3*0.12)
3	AP3	-15180	=(AD3-AD3-(AD3*0.22))+(AN3-AN3-(AN3*0.22))+(AO3-AO3-(AO3*0.22))
3	AQ3	760296.26	=L34-Q34-AD34-AE34-AF34-AG34+AH34+AI34-AJ34-AK34-AL34-AM34-AN34-AO34+AP34
4	A4	2	
4	B4	2207919	=B3+H3-O3-P3-Q3+R3-S3+T3
4	C4	0	=ЗакПро!G4
4	D4	0	=ЗакПро!H4
4	E4	0	=ЗакПро!I4
4	F4	0	=ЗакПро!J4
4	G4	0	=SUM(C4:D4)
4	H4	0	=SUM(E4:F4)
4	I4	-	=IFERROR((E4-C4)/C4*100,"-")
4	J4	-	=IFERROR((F4-D4)/D4*100,"-")
4	K4	-	=IFERROR((H4-G4)/G4*100,"-")
4	L4	0	=H4-G4
4	O4	0	=M4+N4
4	AD4	0	=SUM(U4:AC4)
4	AH4	0	=N4-N4-(N4*0.02)
4	AI4	0	=L4-L4-(L4*0.12)
4	AP4	0	=(AD4-AD4-(AD4*0.22))+(AN4-AN4-(AN4*0.22))+(AO4-AO4-(AO4*0.22))
5	A5	3	
5	B5	2207919	=B4+H4-O4-P4-Q4+R4-S4+T4
5	C5	0	=ЗакПро!L4
5	D5	0	=ЗакПро!M4
5	E5	0	=ЗакПро!N4
5	F5	0	=ЗакПро!O4
5	G5	0	=SUM(C5:D5)
5	H5	0	=SUM(E5:F5)
5	I5	-	=IFERROR((E5-C5)/C5*100,"-")
5	J5	-	=IFERROR((F5-D5)/D5*100,"-")
5	K5	-	=IFERROR((H5-G5)/G5*100,"-")
5	L5	0	=H5-G5
5	O5	0	=M5+N5
5	AD5	0	=SUM(U5:AC5)
5	AH5	0	=N5-N5-(N5*0.02)
5	AI5	0	=L5-L5-(L5*0.12)
5	AP5	0	=(AD5-AD5-(AD5*0.22))+(AN5-AN5-(AN5*0.22))+(AO5-AO5-(AO5*0.22))
6	A6	4	
6	B6	2207919	=B5+H5-O5-P5-Q5+R5-S5+T5
6	C6	0	=ЗакПро!Q4
6	D6	0	=ЗакПро!R4
6	E6	0	=ЗакПро!S4
6	F6	0	=ЗакПро!T4
6	G6	0	=SUM(C6:D6)
6	H6	0	=SUM(E6:F6)
6	I6	-	=IFERROR((E6-C6)/C6*100,"-")
6	J6	-	=IFERROR((F6-D6)/D6*100,"-")
6	K6	-	=IFERROR((H6-G6)/G6*100,"-")
6	L6	0	=H6-G6
6	M6	38400	
6	N6	331531	
6	O6	369931	=M6+N6
6	AD6	0	=SUM(U6:AC6)
6	AH6	-6630.62	=N6-N6-(N6*0.02)
6	AI6	0	=L6-L6-(L6*0.12)
6	AP6	0	=(AD6-AD6-(AD6*0.22))+(AN6-AN6-(AN6*0.22))+(AO6-AO6-(AO6*0.22))
7	A7	5	
7	B7	1837988	=B6+H6-O6-P6-Q6+R6-S6+T6
7	C7	687130	=ЗакПро!V4
7	D7	45291	=ЗакПро!W4
7	E7	825665	=ЗакПро!X4
7	F7	71037	=ЗакПро!Y4
7	G7	732421	=SUM(C7:D7)
7	H7	896702	=SUM(E7:F7)
7	I7	20.161395951275594	=IFERROR((E7-C7)/C7*100,"-")
7	J7	56.845730939921836	=IFERROR((F7-D7)/D7*100,"-")
7	K7	22.429859329538612	=IFERROR((H7-G7)/G7*100,"-")
7	L7	164281	=H7-G7
7	M7	100000	
7	N7	691737	
7	O7	791737	=M7+N7
7	S7	1035	
7	AD7	0	=SUM(U7:AC7)
7	AH7	-13834.74	=N7-N7-(N7*0.02)
7	AI7	-19713.719999999998	=L7-L7-(L7*0.12)
7	AP7	0	=(AD7-AD7-(AD7*0.22))+(AN7-AN7-(AN7*0.22))+(AO7-AO7-(AO7*0.22))
8	A8	6	
8	B8	1941918	=B7+H7-O7-P7-Q7+R7-S7+T7
8	C8	636424	=ЗакПро!AA4
8	D8	216185	=ЗакПро!AB4
8	E8	780705	=ЗакПро!AC4
8	F8	344621	=ЗакПро!AD4
8	G8	852609	=SUM(C8:D8)
8	H8	1125326	=SUM(E8:F8)
8	I8	22.670578105162594	=IFERROR((E8-C8)/C8*100,"-")
8	J8	59.41022735157389	=IFERROR((F8-D8)/D8*100,"-")
8	K8	31.986174201773615	=IFERROR((H8-G8)/G8*100,"-")
8	L8	272717	=H8-G8
8	M8	121000	
8	N8	655422	
8	O8	776422	=M8+N8
8	AD8	0	=SUM(U8:AC8)
8	AH8	-13108.44	=N8-N8-(N8*0.02)
8	AI8	-32726.039999999997	=L8-L8-(L8*0.12)
8	AP8	0	=(AD8-AD8-(AD8*0.22))+(AN8-AN8-(AN8*0.22))+(AO8-AO8-(AO8*0.22))
9	A9	7	
9	B9	2290822	=B8+H8-O8-P8-Q8+R8-S8+T8
9	C9	0	=ЗакПро!AF4
9	D9	0	=ЗакПро!AG4
9	E9	0	=ЗакПро!AH4
9	F9	0	=ЗакПро!AI4
9	G9	0	=SUM(C9:D9)
9	H9	0	=SUM(E9:F9)
9	I9	-	=IFERROR((E9-C9)/C9*100,"-")
9	J9	-	=IFERROR((F9-D9)/D9*100,"-")
9	K9	-	=IFERROR((H9-G9)/G9*100,"-")
9	L9	0	=H9-G9
9	M9	90000	
9	N9	392000	
9	O9	482000	=M9+N9
9	AD9	0	=SUM(U9:AC9)
9	AH9	-7840	=N9-N9-(N9*0.02)
9	AI9	0	=L9-L9-(L9*0.12)
9	AP9	0	=(AD9-AD9-(AD9*0.22))+(AN9-AN9-(AN9*0.22))+(AO9-AO9-(AO9*0.22))
10	A10	8	
10	B10	1808822	=B9+H9-O9-P9-Q9+R9-S9+T9
10	C10	444033	=ЗакПро!AK4
10	D10	226164	=ЗакПро!AL4
10	E10	538045	=ЗакПро!AM4
10	F10	331418	=ЗакПро!AN4
10	G10	670197	=SUM(C10:D10)
10	H10	869463	=SUM(E10:F10)
10	I10	21.172300256962885	=IFERROR((E10-C10)/C10*100,"-")
10	J10	46.538794856829554	=IFERROR((F10-D10)/D10*100,"-")
10	K10	29.732451801485233	=IFERROR((H10-G10)/G10*100,"-")
10	L10	199266	=H10-G10
10	M10	300000	
10	N10	582517	
10	O10	882517	=M10+N10
10	AD10	0	=SUM(U10:AC10)
10	AH10	-11650.34	=N10-N10-(N10*0.02)
10	AI10	-23911.92	=L10-L10-(L10*0.12)
10	AP10	0	=(AD10-AD10-(AD10*0.22))+(AN10-AN10-(AN10*0.22))+(AO10-AO10-(AO10*0.22))
11	A11	9	
11	B11	1795768	=B10+H10-O10-P10-Q10+R10-S10+T10
11	C11	572606	=ЗакПро!AP4
11	D11	199897	=ЗакПро!AQ4
11	E11	706727	=ЗакПро!AR4
11	F11	278325	=ЗакПро!AS4
11	G11	772503	=SUM(C11:D11)
11	H11	985052	=SUM(E11:F11)
11	I11	23.422912089639297	=IFERROR((E11-C11)/C11*100,"-")
11	J11	39.234205615892186	=IFERROR((F11-D11)/D11*100,"-")
11	K11	27.514326805203343	=IFERROR((H11-G11)/G11*100,"-")
11	L11	212549	=H11-G11
11	M11	50000	
11	N11	474187	
11	O11	524187	=M11+N11
11	Q11	27783	
11	AD11	0	=SUM(U11:AC11)
11	AH11	-9483.74	=N11-N11-(N11*0.02)
11	AI11	-25505.879999999997	=L11-L11-(L11*0.12)
11	AP11	0	=(AD11-AD11-(AD11*0.22))+(AN11-AN11-(AN11*0.22))+(AO11-AO11-(AO11*0.22))
12	A12	10	
12	B12	2228850	=B11+H11-O11-P11-Q11+R11-S11+T11
12	C12	166040	=ЗакПро!AU4
12	D12	165273	=ЗакПро!AV4
12	E12	213617	=ЗакПро!AW4
12	F12	241430	=ЗакПро!AX4
12	G12	331313	=SUM(C12:D12)
12	H12	455047	=SUM(E12:F12)
12	I12	28.653938809925318	=IFERROR((E12-C12)/C12*100,"-")
12	J12	46.07951692048913	=IFERROR((F12-D12)/D12*100,"-")
12	K12	37.346557484916076	=IFERROR((H12-G12)/G12*100,"-")
12	L12	123734	=H12-G12
12	M12	41100	
12	N12	357181	
12	O12	398281	=M12+N12
12	Q12	6156	
12	AD12	0	=SUM(U12:AC12)
12	AH12	-7143.62	=N12-N12-(N12*0.02)
12	AI12	-14848.08	=L12-L12-(L12*0.12)
12	AP12	0	=(AD12-AD12-(AD12*0.22))+(AN12-AN12-(AN12*0.22))+(AO12-AO12-(AO12*0.22))
13	A13	11	
13	B13	2279460	=B12+H12-O12-P12-Q12+R12-S12+T12
13	C13	0	=ЗакПро!AZ4
13	D13	0	=ЗакПро!BA4
13	E13	0	=ЗакПро!BB4
13	F13	0	=ЗакПро!BC4
13	G13	0	=SUM(C13:D13)
13	H13	0	=SUM(E13:F13)
13	I13	-	=IFERROR((E13-C13)/C13*100,"-")
13	J13	-	=IFERROR((F13-D13)/D13*100,"-")
13	K13	-	=IFERROR((H13-G13)/G13*100,"-")
13	L13	0	=H13-G13
13	M13	0	
13	N13	285082	
13	O13	285082	=M13+N13
13	AD13	0	=SUM(U13:AC13)
13	AH13	-5701.64	=N13-N13-(N13*0.02)
13	AI13	0	=L13-L13-(L13*0.12)
13	AP13	0	=(AD13-AD13-(AD13*0.22))+(AN13-AN13-(AN13*0.22))+(AO13-AO13-(AO13*0.22))
14	A14	12	
14	B14	1994378	=B13+H13-O13-P13-Q13+R13-S13+T13
14	C14	599387	=ЗакПро!BE4
14	D14	23550	=ЗакПро!BF4
14	E14	745481	=ЗакПро!BG4
14	F14	39572	=ЗакПро!BH4
14	G14	622937	=SUM(C14:D14)
14	H14	785053	=SUM(E14:F14)
14	I14	24.37390200321328	=IFERROR((E14-C14)/C14*100,"-")
14	J14	68.03397027600849	=IFERROR((F14-D14)/D14*100,"-")
14	K14	26.02446154266001	=IFERROR((H14-G14)/G14*100,"-")
14	L14	162116	=H14-G14
14	M14	34000	
14	N14	173990	
14	O14	207990	=M14+N14
14	Q14	1239	
14	S14	24338	
14	AD14	0	=SUM(U14:AC14)
14	AH14	-3479.8	=N14-N14-(N14*0.02)
14	AI14	-19453.92	=L14-L14-(L14*0.12)
14	AP14	0	=(AD14-AD14-(AD14*0.22))+(AN14-AN14-(AN14*0.22))+(AO14-AO14-(AO14*0.22))
15	A15	13	
15	B15	2545864	=B14+H14-O14-P14-Q14+R14-S14+T14
15	C15	62965	=ЗакПро!BJ4
15	D15	2019	=ЗакПро!BK4
15	E15	78470	=ЗакПро!BL4
15	F15	2487	=ЗакПро!BM4
15	G15	64984	=SUM(C15:D15)
15	H15	80957	=SUM(E15:F15)
15	I15	24.62479155086159	=IFERROR((E15-C15)/C15*100,"-")
15	J15	23.179791976225854	=IFERROR((F15-D15)/D15*100,"-")
15	K15	24.579896589929827	=IFERROR((H15-G15)/G15*100,"-")
15	L15	15973	=H15-G15
15	M15	0	
15	N15	283999	
15	O15	283999	=M15+N15
15	S15	3022	
15	AD15	0	=SUM(U15:AC15)
15	AH15	-5679.9800000000005	=N15-N15-(N15*0.02)
15	AI15	-1916.76	=L15-L15-(L15*0.12)
