store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,operating_store,active_sheet,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,reported_month_count
ПОРТ,78195401.0,100346105.0,22150704.0,11743810.0,90543880.0,102287690.0,432523.0,673424.0,-27849.0,81076.0,34382.0,515059.0,91000.0,350000.0,499800.0,-1810877.6,-2658084.48,2040083.0,1098989.0,558336.0,279168.0,1815676.0,0.0,-512761.7,91098659.78,9247445.22,0.2207430373107157,0.0921554974156695,Август,1738617.5199999998,Январь,760296.26,0,6484,2658084.48,1810877.6,512761.7,6305013.7,1105947.0,True,True,Закупочная себестоимость,78195401.0,Банковская комиссия,85649.81394521543,"Маржа выше сети: 9.2% против 5.3%. Результат поддержан валовой маржой 22.1%; крупнейшая контролируемая статья — Закупочная себестоимость 78,195,401.",—,8
КНИП,22303855.0,29469304.0,7165449.0,3309756.0,26538114.0,29847870.0,388265.0,262369.0,-4500.0,23227.0,57134.0,209823.0,91000.0,350000.0,1323000.0,-530762.28,-859853.88,405143.0,255576.0,93431.0,46715.0,1182750.0,0.0,-306366.06,28220644.22,1248659.78,0.2431495837159913,0.0423715395517993,Август,395119.54,Июнь,-123843.89999999997,2,6484,859853.88,530762.28,306366.06,2289981.06,650634.0,True,True,Закупочная себестоимость,22303855.0,Списания,325843.2335732613,"Доходность ниже сети: 4.2% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 22,303,855; наибольший резерв относительно медианы — «Списания» (325,843).","Апрель, Июнь",8
Л76,9539584.0,12600248.0,3060664.0,1370996.0,11530110.0,12901106.0,277390.0,6496.0,0.0,5467.0,0.0,89372.0,91000.0,210000.0,350000.0,-230602.2,-367279.68,394761.0,171061.0,0.0,0.0,403149.0,0.0,-108354.62,11961659.5,638588.5,0.2429050602813532,0.0506806294606264,Август,246711.88,Май,-28538.92000000001,2,6484,367279.68,230602.2,108354.62,1077325.62,283886.0,True,True,Закупочная себестоимость,9539584.0,Списания,145014.5761928079,"Доходность ниже сети: 5.1% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 9,539,584; наибольший резерв относительно медианы — «Списания» (145,015).","Февраль, Май",8
К49,12470287.0,16856403.0,4386116.0,2817808.0,14200184.0,17017992.0,154816.0,9981.0,-4410.0,28490.0,27863.0,148112.0,91000.0,301834.0,805000.0,-284003.68000000005,-526333.9199999999,684252.0,289490.0,186861.0,93430.0,132463.0,0.0,-61726.5,16084774.1,771628.9,0.2602047423759387,0.0457766048901417,Январь,223132.2,Июль,-101393.82,2,6484,526333.9199999999,284003.68000000005,61726.5,1448222.5,164797.0,True,True,Закупочная себестоимость,12470287.0,Аренда,220181.59557160037,"Доходность ниже сети: 4.6% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 12,470,287; наибольший резерв относительно медианы — «Аренда» (220,182).","Июнь, Июль",8
К80,8352826.0,11281674.0,2928848.0,1608477.0,9605189.0,11213666.0,578013.0,30818.0,-18214.0,40600.0,37284.0,92394.0,91000.0,87741.0,455000.0,-192103.78000000003,-351461.75999999995,430861.0,234534.0,0.0,20000.0,347467.0,73000.0,-112829.42,10872035.96,409638.04000000015,0.2596111179954322,0.0363100405134911,Август,134592.28000000003,Июнь,-48798.939999999966,2,6484,351461.75999999995,192103.78000000003,112829.42,1218691.42,608831.0,True,True,Закупочная себестоимость,8352826.0,Списания,484492.00831439346,"Доходность ниже сети: 3.6% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 8,352,826; наибольший резерв относительно медианы — «Списания» (484,492).","Июнь, Июль",8
РЕЗ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,6484,-0.0,-0.0,-0.0,0.0,0.0,False,False,—,0.0,—,0.0,Лист не содержит продаж за период и исключен из сопоставимого рейтинга.,—,0
ПЗ1,7811949.0,10428690.0,2616741.0,1728918.0,8784429.0,10513347.0,259670.0,32474.0,-14638.0,20030.0,7403.0,90824.0,91000.0,70000.0,665000.0,-175688.58000000002,-314008.92000000004,589105.0,268234.0,93608.0,46804.0,172851.0,0.0,-58008.5,10479555.0,-50865.00000000002,0.2509175169652181,-0.0048774102979377,Август,221180.82,Июль,-204676.32,6,6484,314008.92000000004,175688.58000000002,58008.5,1228610.5,292144.0,True,True,Закупочная себестоимость,7811949.0,Аренда,303185.5698348926,"Убыточный результат: чистая маржа -0.5%, убыток 50,865. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 7,811,949; относительно медианы сети наибольший избыток создает «Аренда» (303,186).","Январь, Февраль, Апрель, Май, Июнь, Июль",8
ПЗ2,8972750.0,12063160.0,3090410.0,2000243.0,10276056.0,12276299.0,79763.0,48967.0,-16201.0,12675.0,13204.0,93827.0,91000.0,292005.0,700000.0,-205521.12,-370849.2,289491.0,118427.0,0.0,0.0,519922.0,0.0,-135024.78,11837784.1,225375.9,0.2561857755347687,0.0186829901949406,Август,198458.86,Май,-93629.8,4,6484,370849.2,205521.12,135024.78,1062864.78,128730.0,True,True,Закупочная себестоимость,8972750.0,Аренда,281479.03894060355,"Доходность ниже сети: 1.9% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 8,972,750; наибольший резерв относительно медианы — «Аренда» (281,479).","Апрель, Май, Июнь, Июль",8
МИРА,6146451.0,8433951.0,2287500.0,1113388.0,7562488.0,8675876.0,66322.0,27944.0,-31372.0,29152.0,20018.0,139095.0,91000.0,0.0,469000.0,-151249.76,-274500.0,644665.0,243379.0,93400.0,46700.0,157263.0,0.0,-65198.76,8549845.52,-115894.52000000002,0.2712251944551255,-0.0137414267642769,Август,105368.86,Май,-182622.98,4,6484,274500.0,151249.76,65198.76,1250605.76,94266.0,True,True,Закупочная себестоимость,6146451.0,ФОТ и налоги на персонал,416480.25983371946,"Убыточный результат: чистая маржа -1.4%, убыток 115,895. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 6,146,451; относительно медианы сети наибольший избыток создает «ФОТ и налоги на персонал» (416,480).","Апрель, Май, Июнь, Июль",8
МАК,5589297.0,7644927.0,2055630.0,1336426.0,6704814.0,8041240.0,8655.0,21454.0,0.0,13404.0,12877.0,149932.0,91000.0,0.0,525000.0,-134096.28,-246675.6,368444.0,171060.0,0.0,0.0,393394.0,93000.0,-139991.72,7923344.6,-278417.60000000003,0.2688881136471283,-0.0364186080521109,Август,62687.4,Июль,-227662.82,5,6484,246675.6,134096.28,139991.72,1165889.72,30109.0,True,True,Закупочная себестоимость,5589297.0,ФОТ и налоги на персонал,409799.41812254034,"Убыточный результат: чистая маржа -3.6%, убыток 278,418. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 5,589,297; относительно медианы сети наибольший избыток создает «ФОТ и налоги на персонал» (409,799).","Январь, Апрель, Май, Июнь, Июль",8
