store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,net_profit,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,gross_margin,net_margin,operating_store,active_sheet,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,loss_months,best_month,best_month_profit,worst_month,worst_month_profit,reported_month_count
А1,18455255.0,25419152.0,6963897.0,4624650.0,20679381.0,25304031.0,19076.0,5122.0,0.0,33472.0,39494.0,323700.0,207000.0,216655.0,1015000.0,-413587.62000000005,-835667.6399999999,695092.0,288214.0,92541.0,46270.0,654540.0,0.0,-215212.8,1955294.94,835667.6399999999,413587.62000000005,215212.8,1991869.8,24198.0,0.2739626011127358,0.07692211526175224,True,True,Закупочная себестоимость,18455255.0,Аренда,92047.32286151324,"Маржа выше сети: 7.7% против 4.6%. Результат поддержан валовой маржой 27.4%; крупнейшая контролируемая статья — Закупочная себестоимость 18,455,255.",—,0,Март,516156.94,68280.40000000002,68280.40000000002,7
А2,28680843.0,39154723.0,10473880.0,6591810.0,32682823.0,39274633.0,59484.0,34016.0,-9935.0,49353.0,78008.0,252290.0,207000.0,345635.0,1330000.0,-653656.46,-1256865.6,708546.0,236856.0,93413.0,46707.0,889784.0,0.0,-251256.28,4167854.66,1256865.6,653656.46,251256.28,2226562.28,93500.0,0.2674997854026448,0.10644577053961025,True,True,Закупочная себестоимость,28680843.0,Налог с валовой прибыли,21550.224045103183,"Маржа выше сети: 10.6% против 4.6%. Результат поддержан валовой маржой 26.7%; крупнейшая контролируемая статья — Закупочная себестоимость 28,680,843.",—,0,Март,768418.5,302769.84,302769.84,7
А3,9025695.0,12299048.0,3273353.0,2350747.0,10008445.0,12359192.0,51223.0,39057.0,0.0,28615.0,15238.0,83796.0,190000.0,188741.0,850000.0,-200168.90000000002,-392802.36,52635.0,0.0,0.0,0.0,583182.0,0.0,-146735.16,546235.5800000001,392802.36,200168.90000000002,146735.16,782552.16,90280.0,0.26614685949676753,0.04441283422912083,True,True,Закупочная себестоимость,9025695.0,Аренда,403429.6628835316,"Доходность ниже сети: 4.4% против 4.6%. Ключевая нагрузка — Закупочная себестоимость 9,025,695; резерв к медиане — «Аренда» (403,430).",Май,1,Июнь,155853.78,-594.139999999983,-594.139999999983,7
ГС1,11217891.0,15221798.0,4003907.0,2760102.0,12579940.0,15340042.0,309384.0,7673.0,0.0,20326.0,14300.0,165419.0,91000.0,194915.0,619500.0,-251598.8,-480468.83999999997,684253.0,289491.0,94012.0,47006.0,643888.0,0.0,-178047.54,256634.81999999995,480468.83999999997,251598.8,178047.54,1936697.54,317057.0,0.2630377173576998,0.016859691608047876,True,True,Закупочная себестоимость,11217891.0,ФОТ и налоги на персонал,363487.66354811564,"Доходность ниже сети: 1.7% против 4.6%. Ключевая нагрузка — Закупочная себестоимость 11,217,891; резерв к медиане — «ФОТ и налоги на персонал» (363,488).",Июль,1,Февраль,169310.54000000004,-147259.74,-147259.74,7
ГС2,10985453.0,14811951.0,3826498.0,2421164.0,12306758.0,14727922.0,233281.0,3934.0,0.0,13050.0,22184.0,90974.0,91000.0,301000.0,455000.0,-246135.16,-459179.75999999995,422460.0,203958.0,93682.0,46841.0,523882.0,0.0,-135268.32,753183.7600000001,459179.75999999995,246135.16,135268.32,1426091.32,237215.0,0.2583385537799848,0.050849733434845966,True,True,Закупочная себестоимость,10985453.0,Коммунальные платежи за наличные,108199.2619736197,"Маржа выше сети: 5.1% против 4.6%. Результат поддержан валовой маржой 25.8%; крупнейшая контролируемая статья — Закупочная себестоимость 10,985,453.",Июль,1,Март,261301.34000000003,-37756.84000000004,-37756.84000000004,7
ЗАО,6988282.0,9516422.0,2528140.0,633360.0,8802594.0,9435954.0,28403.0,2778.0,-5780.0,15743.0,16662.0,86794.0,264000.0,175000.0,35000.0,-176051.88,-303376.8,645264.0,269996.0,279932.0,139966.0,62797.0,0.0,-32910.020000000004,54274.30000000002,303376.8,176051.88,32910.020000000004,1430865.02,31181.0,0.2656607704029939,0.005703225434937629,True,True,Закупочная себестоимость,6988282.0,ФОТ и налоги на персонал,447319.641268526,"Доходность ниже сети: 0.6% против 4.6%. Ключевая нагрузка — Закупочная себестоимость 6,988,282; резерв к медиане — «ФОТ и налоги на персонал» (447,320).","Май, Июнь, Июль",3,Март,98182.96,-115348.2,-115348.2,7
ЗАП,14313269.0,19392304.0,5079035.0,2106985.0,17308287.0,19415272.0,269471.0,13110.0,651.0,41246.0,49159.0,214898.0,372000.0,221482.0,665600.0,-346165.74,-609484.2,662972.0,247747.0,54035.0,27018.0,403953.0,0.0,-136147.22,1104422.84,609484.2,346165.74,136147.22,1531872.22,282581.0,0.2619098277337236,0.056951605131602724,True,True,Закупочная себестоимость,14313269.0,Списания,52859.4008201634,"Маржа выше сети: 5.7% против 4.6%. Результат поддержан валовой маржой 26.2%; крупнейшая контролируемая статья — Закупочная себестоимость 14,313,269.",Июнь,1,Апрель,259757.12000000005,-57899.01999999998,-57899.01999999998,7
К49,11405845.0,15439035.0,4033190.0,2472836.0,12660850.0,15133686.0,139778.0,9981.0,-4410.0,28490.0,25763.0,137140.0,91000.0,301834.0,805000.0,-253217.00000000003,-483982.8,684252.0,289490.0,186861.0,93430.0,69463.0,0.0,-45452.66,582086.54,483982.8,253217.00000000003,45452.66,1368948.66,149759.0,0.26123329599291667,0.037702261831778994,True,True,Закупочная себестоимость,11405845.0,Аренда,244418.801788321,"Доходность ниже сети: 3.8% против 4.6%. Ключевая нагрузка — Закупочная себестоимость 11,405,845; резерв к медиане — «Аренда» (244,419).","Июнь, Июль",2,Январь,223132.2,-101393.82,-101393.82,7
К80,7507230.0,10168346.0,2661116.0,1419879.0,8438671.0,9858550.0,458848.0,30818.0,-18214.0,39660.0,31236.0,89078.0,91000.0,87741.0,455000.0,-168773.42,-319333.92,404544.0,221375.0,0.0,20000.0,319467.0,73000.0,-105939.9,275045.76000000007,319333.92,168773.42,105939.9,1144325.9,489666.0,0.2617058860900288,0.02704921331355169,True,True,Закупочная себестоимость,7507230.0,Списания,369211.58137424546,"Доходность ниже сети: 2.7% против 4.6%. Ключевая нагрузка — Закупочная себестоимость 7,507,230; резерв к медиане — «Списания» (369,212).","Июнь, Июль",2,Январь,131657.86000000002,-48798.939999999966,-48798.939999999966,7
КА1,4900149.0,6864591.0,1964442.0,1365434.0,6112872.0,7478306.0,75990.0,19243.0,-544417.0,42931.0,16991.0,288502.0,120000.0,135000.0,125000.0,-122257.44,-235733.03999999998,0.0,263171.0,186000.0,93000.0,645900.0,0.0,-205568.44,-474932.92000000004,235733.03999999998,122257.44,205568.44,1393639.44,95233.0,0.2861702904076878,-0.06918590197143575,True,True,Закупочная себестоимость,4900149.0,ФОТ и налоги на персонал,684167.2502493071,"Убыточный результат: чистая маржа -6.9%, убыток 474,933. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 4,900,149; наибольший избыток к медиане — «ФОТ и налоги на персонал» (684,167).","Апрель, Май, Июнь",3,Январь,41099.22,-445979.52,-445979.52,7
